#Rank	Path	LengthInKmers	Flows
3	148000003	863	2
2	242000002	643	3
2	243000002	617	2
1	190000001	1423	3
0	188000000	855	3
2	244000002	616	2
3	149000003	856	3
0	189000000	832	2
2	245000002	925	2
1	191000001	758	3
3	150000003	878	3
0	190000000	714	2
1	192000001	733	2
0	191000000	726	2
2	246000002	704	3
1	193000001	732	2
0	192000000	711	2
3	151000003	913	3
0	193000000	709	2
2	247000002	887	3
3	152000003	883	2
0	194000000	707	2
2	248000002	612	3
0	195000000	705	2
2	249000002	611	2
3	154000003	1288	2
0	196000000	705	2
2	250000002	611	2
2	251000002	610	2
0	197000000	704	2
2	252000002	610	2
3	155000003	1181	3
0	198000000	703	2
2	253000002	615	2
0	200000000	700	2
2	254000002	608	2
0	201000000	699	2
3	156000003	841	3
2	255000002	604	2
3	157000003	837	2
2	256000002	604	2
2	257000002	604	2
0	202000000	773	3
3	158000003	836	2
2	258000002	599	2
0	203000000	696	2
2	259000002	599	2
3	159000003	836	2
1	194000001	1427	3
0	204000000	692	2
2	260000002	643	3
3	160000003	831	2
1	195000001	729	2
0	205000000	692	2
2	261000002	597	2
0	206000000	690	2
3	161000003	829	2
1	196000001	766	3
2	262000002	617	3
1	197000001	899	2
2	263000002	598	3
0	207000000	802	3
1	198000001	726	2
2	264000002	597	2
2	265000002	596	2
1	199000001	723	2
0	208000000	966	3
2	266000002	660	3
1	200000001	748	3
2	267000002	592	2
3	162000003	1412	3
0	209000000	685	3
1	201000001	717	2
2	268000002	590	2
0	210000000	681	2
1	202000001	712	2
2	269000002	801	3
0	211000000	678	2
1	203000001	731	2
3	163000003	900	3
0	212000000	676	2
1	204000001	707	2
3	165000003	820	2
2	270000002	1467	2
3	166000003	819	2
1	205000001	898	3
2	271000002	584	2
1	206000001	705	2
2	272000002	591	3
3	167000003	819	3
2	274000002	582	2
1	207000001	794	3
3	168000003	816	3
1	208000001	702	2
2	275000002	581	3
1	209000001	700	2
2	276000002	579	3
3	169000003	1210	2
2	277000002	571	2
1	210000001	745	3
2	278000002	571	2
3	170000003	805	2
2	279000002	570	2
1	211000001	707	3
3	171000003	803	2
2	280000002	568	2
1	212000001	694	2
2	282000002	566	2
3	172000003	793	2
3	173000003	792	2
1	213000001	923	3
2	283000002	588	3
1	214000001	684	2
2	284000002	566	2
3	175000003	783	3
1	215000001	677	2
2	285000002	563	2
2	286000002	563	2
1	216000001	679	3
1	217000001	673	2
2	287000002	571	2
3	176000003	1486	2
2	289000002	557	2
1	218000001	673	2
3	177000003	779	2
2	290000002	552	2
2	291000002	551	2
3	178000003	777	2
1	220000001	721	3
3	179000003	771	2
0	214000000	4739	3
